date,quantity,total
2021-01-01,1401,4360.8
2021-01-02,1316,4071.05
2021-01-03,1344,4198.75
2021-01-04,1308,4013.15
2021-01-05,1379,4333.6
2021-01-06,1237,3845.9
2021-01-07,661,2075.1
2021-01-08,736,2488.33
2021-01-09,504,1862.46
2021-01-10,801,2535.6
2021-01-11,805,2554.23
2021-01-12,738,2344.65
2021-01-13,834,2678.75
2021-01-14,393,1370.78
2021-01-15,349,1056.9
2021-01-16,342,1102.6
2021-01-17,305,1340.2
2021-01-18,345,1153.48
2021-01-19,361,1151.5
2021-01-20,403,1359.53
2021-01-21,516,1707.03
2021-01-22,500,1603.5
2021-01-23,471,1479.55
2021-01-24,548,1832.5
2021-01-25,504,1583.4
2021-01-26,495,1667.65
2021-01-27,486,1497.2
2021-01-28,678,2094.2
2021-01-29,655,2015.8
2021-01-30,655,2006.71
2021-01-31,565,1758.39
2021-02-01,1281,4026.5
2021-02-02,1304,4018.8
2021-02-03,1312,4066.5
2021-02-04,1280,3965.5
2021-02-05,1266,3916.3
2021-02-06,1101,3434.65
2021-02-07,657,2143.9
2021-02-08,726,2422.8
2021-02-09,461,1620.16
2021-02-10,791,2597.55
2021-02-11,856,2836.96
2021-02-12,733,2404.55
2021-02-13,780,2565.6
2021-02-14,399,1380.33
2021-02-15,347,1135.25
2021-02-16,291,915.0
2021-02-17,298,922.65
2021-02-18,354,1214.68
2021-02-19,345,1091.63
2021-02-20,423,1405.83
2021-02-21,504,1765.15
2021-02-22,487,1545.15
2021-02-23,494,1637.98
2021-02-24,501,1658.25
2021-02-25,492,1611.3
2021-02-26,468,1588.2
2021-02-27,430,1298.05
2021-02-28,613,1889.3
2021-03-01,1433,4421.6
2021-03-02,1371,4213.9
2021-03-03,1447,4539.35
2021-03-04,1351,4196.0
2021-03-05,1336,4128.8
2021-03-06,1210,3750.4
2021-03-07,679,2149.9
2021-03-08,743,2484.0
2021-03-09,507,1814.71
2021-03-10,867,2813.75
2021-03-11,849,2761.38
2021-03-12,794,2533.7
2021-03-13,733,2391.05
2021-03-14,402,1393.65
2021-03-15,371,1166.03
2021-03-16,319,1017.05
2021-03-17,291,948.3
2021-03-18,375,1347.88
2021-03-19,394,1227.65
2021-03-20,414,1427.1
2021-03-21,518,1689.28
2021-03-22,562,1793.9
2021-03-23,508,1656.96
2021-03-24,551,1785.15
2021-03-25,521,1653.2
2021-03-26,463,1607.65
2021-03-27,472,1490.35
2021-03-28,653,2016.95
2021-03-29,638,1979.0
2021-03-30,574,1801.41
2021-03-31,643,2141.63
2021-04-01,1532,4797.05
2021-04-02,1444,4479.45
2021-04-03,1459,4567.95
2021-04-04,1427,4422.6
2021-04-05,1482,4579.95
2021-04-06,1267,3904.5
2021-04-07,739,2348.65
2021-04-08,816,2752.13
2021-04-09,542,1905.83
2021-04-10,821,2655.45
2021-04-11,899,2907.43
2021-04-12,780,2509.65
2021-04-13,934,3065.98
2021-04-14,476,1669.78
2021-04-15,375,1191.28
2021-04-16,366,1155.0
2021-04-17,375,1591.55
2021-04-18,445,1503.08
2021-04-19,415,1300.28
2021-04-20,472,1603.15
2021-04-21,575,1899.53
2021-04-22,517,1662.95
2021-04-23,546,1744.83
2021-04-24,605,1928.9
2021-04-25,457,1452.05
2021-04-26,530,1795.95
2021-04-27,501,1513.15
2021-04-28,676,2100.25
2021-04-29,652,2024.65
2021-04-30,661,2206.34
2021-05-01,1634,5093.4
2021-05-02,1667,5118.5
2021-05-03,1666,5175.9
2021-05-04,1601,4938.8
2021-05-05,1544,4788.7
2021-05-06,1499,4649.3
2021-05-07,850,2748.0
2021-05-08,919,3099.73
2021-05-09,594,2081.18
2021-05-10,1033,3320.15
2021-05-11,1062,3532.66
2021-05-12,897,2886.25
2021-05-13,995,3198.75
2021-05-14,500,1710.5
2021-05-15,464,1469.55
2021-05-16,412,1332.4
2021-05-17,369,1212.15
2021-05-18,453,1532.35
2021-05-19,424,1330.06
2021-05-20,503,1755.2
2021-05-21,590,1999.48
2021-05-22,609,1968.78
2021-05-23,593,1955.73
2021-05-24,644,2098.55
2021-05-25,598,1937.25
2021-05-26,627,2114.95
2021-05-27,530,1609.4
2021-05-28,797,2447.75
2021-05-29,763,2374.2
2021-05-30,767,2469.37
2021-05-31,785,2431.2
2021-06-01,1700,5296.1
2021-06-02,1670,5176.1
2021-06-03,1764,5496.9
2021-06-04,1663,5119.35
2021-06-05,1699,5260.25
2021-06-06,1566,4864.15
2021-06-07,865,2784.85
2021-06-08,906,3016.18
2021-06-09,652,2284.73
2021-06-10,1050,3394.0
2021-06-11,1112,3614.01
2021-06-12,944,3071.85
2021-06-13,1048,3331.23
2021-06-14,482,1658.83
2021-06-15,460,1461.75
2021-06-16,405,1306.2
2021-06-17,428,1742.85
2021-06-18,460,1547.98
2021-06-19,484,1532.33
2021-06-20,512,1802.58
2021-06-21,655,2109.23
2021-06-22,613,1972.6
2021-06-23,633,2076.33
2021-06-24,721,2340.55
2021-06-25,665,2100.85
2021-06-26,607,2042.0
2021-06-27,622,1929.3
2021-06-28,831,2572.4
2021-06-29,795,2447.35
2021-06-30,786,2640.14
2021-07-01,1666,5251.55
2021-07-02,1563,4832.45
2021-07-03,1581,4904.0
2021-07-04,1528,4736.0
2021-07-05,1556,4816.0
2021-07-06,1381,4298.35
2021-07-07,788,2542.85
2021-07-08,878,3004.93
2021-07-09,538,1951.57
2021-07-10,885,2783.1
2021-07-11,1017,3343.66
2021-07-12,809,2575.0
2021-07-13,956,3083.65
2021-07-14,443,1534.3
2021-07-15,444,1448.68
2021-07-16,367,1200.38
2021-07-17,365,1200.65
2021-07-18,435,1493.28
2021-07-19,407,1285.6
2021-07-20,461,1540.73
2021-07-21,590,1974.48
2021-07-22,583,1837.03
2021-07-23,587,1955.08
2021-07-24,626,2099.2
2021-07-25,596,1895.95
2021-07-26,592,1995.3
2021-07-27,524,1653.85
2021-07-28,777,2397.15
2021-07-29,678,2086.45
2021-07-30,744,2351.58
2021-07-31,705,2279.35
2021-08-01,1536,4785.75
2021-08-02,1560,4797.15
2021-08-03,1639,5102.15
2021-08-04,1467,4521.2
2021-08-05,1469,4564.7
2021-08-06,1316,4076.65
2021-08-07,758,2462.05
2021-08-08,807,2700.98
2021-08-09,580,2027.1
2021-08-10,933,2999.05
2021-08-11,968,3283.06
2021-08-12,800,2523.0
2021-08-13,931,3000.0
2021-08-14,450,1552.55
2021-08-15,386,1241.58
2021-08-16,367,1195.38
2021-08-17,341,1141.2
2021-08-18,408,1387.25
2021-08-19,422,1334.96
2021-08-20,484,1637.13
2021-08-21,578,1966.65
2021-08-22,553,1798.13
2021-08-23,572,1870.48
2021-08-24,616,2031.85
2021-08-25,529,1638.1
2021-08-26,543,1786.8
2021-08-27,552,1771.0
2021-08-28,773,2394.35
2021-08-29,668,2068.5
2021-08-30,698,2282.21
2021-08-31,695,2327.11
2021-09-01,1537,4802.4
2021-09-02,1471,4554.15
2021-09-03,1575,4886.7
2021-09-04,1433,4417.6
2021-09-05,1450,4503.1
2021-09-06,1305,4035.5
2021-09-07,755,2388.4
2021-09-08,766,2509.45
2021-09-09,589,2027.78
2021-09-10,905,2876.15
2021-09-11,980,3169.75
2021-09-12,759,2459.5
2021-09-13,898,2838.6
2021-09-14,427,1463.48
2021-09-15,385,1225.9
2021-09-16,359,1200.48
2021-09-17,366,1192.1
2021-09-18,411,1431.25
2021-09-19,419,1378.71
2021-09-20,425,1435.88
2021-09-21,520,1749.63
2021-09-22,515,1688.88
2021-09-23,552,1800.13
2021-09-24,596,1932.8
2021-09-25,530,1668.5
2021-09-26,546,1836.55
2021-09-27,493,1528.25
2021-09-28,749,2317.8
2021-09-29,710,2206.6
2021-09-30,656,2102.72
2021-10-01,1676,5222.1
2021-10-02,1635,5030.45
2021-10-03,1646,5141.8
2021-10-04,1681,5190.3
2021-10-05,1690,5252.5
2021-10-06,1500,4639.2
2021-10-07,802,2571.5
2021-10-08,812,2737.48
2021-10-09,635,2259.84
2021-10-10,992,3249.3
2021-10-11,1045,3315.21
2021-10-12,883,2875.9
2021-10-13,1033,3333.78
2021-10-14,522,1737.98
2021-10-15,453,1481.08
2021-10-16,410,1312.2
2021-10-17,364,1163.05
2021-10-18,471,1574.13
2021-10-19,450,1426.8
2021-10-20,486,1601.1
2021-10-21,625,2116.38
2021-10-22,597,1969.43
2021-10-23,652,2093.11
2021-10-24,697,2255.05
2021-10-25,576,1756.4
2021-10-26,613,2099.6
2021-10-27,602,1918.25
2021-10-28,820,2542.65
2021-10-29,745,2263.75
2021-10-30,789,2521.73
2021-10-31,732,2340.08
2021-11-01,1828,5678.0
2021-11-02,1765,5423.55
2021-11-03,1846,5742.65
2021-11-04,1778,5467.45
2021-11-05,1817,5623.55
2021-11-06,1611,4994.65
2021-11-07,903,2907.0
2021-11-08,959,3232.08
2021-11-09,674,2415.73
2021-11-10,1080,3521.5
2021-11-11,1155,3809.88
2021-11-12,986,3113.15
2021-11-13,1086,3545.78
2021-11-14,553,1946.15
2021-11-15,492,1603.08
2021-11-16,432,1411.13
2021-11-17,442,1761.9
2021-11-18,469,1595.63
2021-11-19,490,1582.26
2021-11-20,534,1846.7
2021-11-21,700,2399.08
2021-11-22,657,2109.08
2021-11-23,681,2264.61
2021-11-24,739,2431.95
2021-11-25,672,2103.8
2021-11-26,657,2188.25
2021-11-27,625,1980.4
2021-11-28,919,2837.45
2021-11-29,850,2635.5
2021-11-30,796,2627.59
2021-12-01,1701,5317.95
2021-12-02,1685,5170.4
2021-12-03,1644,5098.45
2021-12-04,1636,5038.5
2021-12-05,1654,5136.25
2021-12-06,1472,4553.45
2021-12-07,846,2733.7
2021-12-08,910,3068.28
2021-12-09,609,2101.21
2021-12-10,1026,3313.3
2021-12-11,1065,3541.96
2021-12-12,898,2928.5
2021-12-13,989,3172.68
2021-12-14,512,1768.03
2021-12-15,441,1419.7
2021-12-16,406,1344.13
2021-12-17,399,1599.15
2021-12-18,470,1612.6
2021-12-19,484,1555.23
2021-12-20,475,1658.55
2021-12-21,632,2077.75
2021-12-22,590,1882.98
2021-12-23,597,1992.26
2021-12-24,658,2139.9
2021-12-25,578,1856.65
2021-12-26,610,2039.55
2021-12-27,565,1701.65
2021-12-28,828,2572.0
2021-12-29,772,2393.25
2021-12-30,800,2634.14
2021-12-31,773,2450.25
2022-01-01,1375,4308.0
2022-01-02,1454,4477.5
2022-01-03,1398,4359.7
2022-01-04,1306,4034.2
2022-01-05,1356,4218.0
2022-01-06,1270,3915.6
2022-01-07,670,2151.9
2022-01-08,743,2510.18
2022-01-09,529,1841.62
2022-01-10,855,2895.05
2022-01-11,848,2703.08
2022-01-12,761,2315.85
2022-01-13,887,2856.65
2022-01-14,440,1536.03
2022-01-15,368,1189.1
2022-01-16,351,1117.5
2022-01-17,334,1387.8
2022-01-18,352,1218.35
2022-01-19,386,1265.38
2022-01-20,411,1454.83
2022-01-21,557,1927.9
2022-01-22,529,1705.43
2022-01-23,515,1658.28
2022-01-24,562,1780.8
2022-01-25,510,1623.8
2022-01-26,482,1617.85
2022-01-27,490,1547.0
2022-01-28,651,2001.3
2022-01-29,678,2124.75
2022-01-30,591,1911.84
2022-01-31,615,2006.24
2022-02-01,1386,4353.85
2022-02-02,1362,4216.05
2022-02-03,1383,4284.05
2022-02-04,1327,4101.15
2022-02-05,1328,4161.25
2022-02-06,1264,3932.25
2022-02-07,643,2074.2
2022-02-08,733,2475.55
2022-02-09,493,1696.44
2022-02-10,829,2685.9
2022-02-11,872,2850.43
2022-02-12,675,2128.5
2022-02-13,845,2749.85
2022-02-14,382,1337.13
2022-02-15,346,1105.8
2022-02-16,351,1107.53
2022-02-17,305,1020.6
2022-02-18,341,1186.13
2022-02-19,388,1245.41
2022-02-20,424,1389.0
2022-02-21,504,1737.88
2022-02-22,477,1520.23
2022-02-23,481,1604.56
2022-02-24,532,1718.6
2022-02-25,492,1555.3
2022-02-26,479,1579.85
2022-02-27,486,1521.5
2022-02-28,618,1922.65
2022-03-01,1466,4575.95
2022-03-02,1372,4193.3
2022-03-03,1450,4523.15
2022-03-04,1367,4206.85
2022-03-05,1402,4362.9
2022-03-06,1239,3827.75
2022-03-07,715,2261.1
2022-03-08,756,2526.23
2022-03-09,523,1769.16
2022-03-10,817,2728.6
2022-03-11,974,3230.2
2022-03-12,755,2341.2
2022-03-13,900,2979.85
2022-03-14,438,1513.05
2022-03-15,390,1255.1
2022-03-16,337,1078.35
2022-03-17,319,1080.6
2022-03-18,399,1354.35
2022-03-19,398,1258.38
2022-03-20,401,1412.43
2022-03-21,573,1925.63
2022-03-22,539,1679.3
2022-03-23,519,1717.18
2022-03-24,550,1784.3
2022-03-25,482,1532.7
2022-03-26,528,1747.85
2022-03-27,483,1486.4
2022-03-28,699,2157.95
2022-03-29,626,1951.25
2022-03-30,663,2192.15
2022-03-31,607,1936.16
2022-04-01,2391,7462.0
2022-04-02,2354,7269.1
2022-04-03,2396,7456.25
2022-04-04,2298,7078.45
2022-04-05,2330,7236.25
2022-04-06,2104,6513.75
2022-04-07,1184,3788.95
2022-04-08,1247,4195.48
2022-04-09,885,3130.48
2022-04-10,1410,4580.55
2022-04-11,1517,4961.86
2022-04-12,1272,4086.25
2022-04-13,1430,4643.68
2022-04-14,702,2464.93
2022-04-15,635,2038.38
2022-04-16,575,1867.43
2022-04-17,538,1769.6
2022-04-18,640,2176.08
2022-04-19,660,2112.36
2022-04-20,691,2350.98
2022-04-21,897,3031.18
2022-04-22,849,2713.68
2022-04-23,868,2860.41
2022-04-24,943,3064.25
2022-04-25,845,2676.75
2022-04-26,857,2870.15
2022-04-27,820,2553.25
2022-04-28,1134,3512.3
2022-04-29,1086,3366.3
